NAME,VS,SHOTS,SOT,GOALS,ASSISTS,PASSES,CROSSES,TACKLES,FOULS,YELLOWS,SAVES,Included,Injured
E. Haaland,MUN,3.11,1.43,0.68,0.12,12.08,0.23,0.36,0.67,0.07,0,1,
Omar Marmoush,MUN,2.81,1.13,0.38,0.16,20.3,1.49,0.92,0.83,0.09,0,,1
B. Šeško,MCI,2.27,0.98,0.38,0.08,12.56,0.26,0.48,0.88,0.1,0,,
C. Obi,MCI,2.32,0.99,0.37,0.08,10.43,0.23,0.54,1.06,0.11,0,,
J. Doku,MUN,2.4,0.98,0.33,0.23,30.52,2.22,0.97,0.78,0.1,0,1,
P. Foden,MUN,2.34,0.92,0.29,0.22,35.81,3.42,0.78,0.59,0.08,0,,
Savinho,MUN,2.11,0.84,0.27,0.21,29.52,3.45,0.91,0.67,0.08,0,,1
Matheus Cunha,MCI,2.27,0.88,0.27,0.11,19.7,1.1,0.94,1.19,0.15,0,,1
T. Reijnders,MUN,2.09,0.79,0.26,0.16,52.72,1.11,0.96,0.68,0.1,0,1,
B. Mbeumo,MCI,2.14,0.88,0.25,0.16,21.44,3.75,0.73,0.72,0.11,0,1,
R. Cherki,MUN,1.86,0.73,0.24,0.21,40.47,2.17,1.07,0.65,0.08,0,,1
J. Zirkzee,MCI,1.6,0.66,0.23,0.07,16.25,0.17,0.65,1.04,0.11,0,1,
O. Bobb,MUN,1.53,0.61,0.21,0.17,33.56,1.1,1.04,0.73,0.09,0,1,
A. Diallo,MCI,1.54,0.63,0.21,0.18,32.94,1.41,1.31,0.8,0.1,0,1,
Bruno Fernandes,MCI,2.21,0.78,0.2,0.18,41.81,3.96,1.41,1.05,0.18,0,1,
N. O'Reilly,MUN,1.24,0.43,0.14,0.12,36.13,0.64,1.66,1,0.12,0,,1
Bernardo Silva,MUN,1.19,0.42,0.12,0.18,46.03,3.34,1.45,0.9,0.13,0,1,
M. Mount,MCI,1.1,0.4,0.11,0.08,19.19,1.28,1.15,0.89,0.12,0,,1
P. Dorgu,MCI,1.13,0.4,0.11,0.1,22.02,1.51,1.79,1.21,0.17,0,1,
Nico González,MUN,1.05,0.32,0.1,0.08,51.06,0.24,1.82,1.33,0.2,0,,
M. Kovačić,MUN,1.08,0.32,0.1,0.07,56.81,0.25,2.05,1.32,0.19,0,,1
K. Mainoo,MCI,0.91,0.33,0.09,0.07,24.73,0.42,1.39,1,0.13,0,1,
Rodri,MUN,0.93,0.29,0.09,0.07,67.5,0.27,1.55,0.97,0.16,0,1,
J. Gvardiol,MUN,0.77,0.24,0.08,0.05,68.25,0.23,1.27,0.78,0.14,0,,1
R. Aït-Nouri,MUN,0.88,0.28,0.08,0.12,43.78,2.1,2.09,1.01,0.13,0,1,
R. Lewis,MUN,0.66,0.22,0.07,0.1,46.31,0.84,1.41,0.71,0.11,0,,1
Casemiro,MCI,0.88,0.25,0.06,0.05,34,0.39,2.51,1.64,0.26,0,1,
Matheus Nunes,MUN,0.67,0.22,0.06,0.11,49.31,1.53,1.63,0.87,0.13,0,1,
K. Phillips,MUN,0.86,0.23,0.06,0.08,49.25,1.22,1.87,1.37,0.21,0,,1
Rúben Dias,MUN,0.51,0.15,0.05,0.03,69.75,0.13,1.08,0.67,0.13,0,1,
H. Maguire,MCI,0.48,0.15,0.05,0.01,36.47,0.03,1.07,0.83,0.19,0,,
N. Aké,MUN,0.52,0.16,0.05,0.09,55.59,1.29,1.27,0.65,0.11,0,1,
D. León,MCI,0.64,0.19,0.04,0.05,22.48,1.63,2.05,0.99,0.15,0,,
A. Khusanov,MUN,0.46,0.13,0.04,0.02,59.69,0.08,1.36,1,0.18,0,,1
M. de Ligt,MCI,0.4,0.12,0.04,0.01,36.5,0.06,1.28,0.71,0.16,0,1,
J. Stones,MUN,0.36,0.11,0.04,0.03,63.13,0.21,0.86,0.5,0.09,0,,1
A. Heaven,MCI,0.41,0.12,0.03,0.01,39.91,0.04,1.53,1.11,0.25,0,,
Diogo Dalot,MCI,0.45,0.14,0.03,0.07,30.2,1.97,1.89,0.97,0.15,0,,1
Lisandro Martínez,MCI,0.44,0.12,0.03,0.02,45.38,0.22,1.38,0.92,0.21,0,,1
L. Yoro,MCI,0.36,0.1,0.03,0.01,40.91,0.06,1.47,0.89,0.2,0,1,
M. Ugarte,MCI,0.46,0.12,0.03,0.03,30.81,0.13,2.52,1.79,0.31,0,,
T. Fredricson,MCI,0.23,0.06,0.02,0.01,43.88,0.05,1.34,0.79,0.18,0,,
T. Malacia,MCI,0.22,0.06,0.01,0.04,30.39,1.84,2.36,1.3,0.22,0,,
L. Shaw,MCI,0.18,0.05,0.01,0.02,40.78,0.36,1.28,0.78,0.17,0,1,
N. Mazraoui,MCI,0.18,0.04,0.01,0.02,37.06,0.3,2.26,1.25,0.24,0,,
J. Trafford,MUN,0,0,0,0,29.88,0,0.03,0.02,0.05,2.65,,
S. Ortega,MUN,0,0,0,0,30.47,0,0.02,0.02,0.04,2.53,,
A. Onana,MCI,0,0,0,0,30.69,0,0.03,0.02,0.06,3.99,,
M. Bettinelli,MUN,0,0,0,0,27.97,0,0.02,0.02,0.04,2.63,,1
S. Lammens,MCI,0,0,0,0,34.13,0,0.03,0.03,0.07,4.29,1,
G. Donnarumma,MUN,0,0,0,0,23.83,0,0.02,0.02,0.04,2.63,1,
T. Heaton,MCI,0,0,0,0,31.16,0,0.02,0.02,0.05,3.27,,
A. Bayındır,MCI,0,0,0,0,30,0,0.03,0.02,0.06,4.07,,
