NAME,VS,SHOTS,SOT,GOALS,ASSISTS,PASSES,CROSSES,TACKLES,FOULS,YELLOWS,SAVES,Included,Injured
C. Obi,CHE,2.51,1.03,0.39,0.07,10.07,0.25,0.52,1.11,0.12,0,,
Marc Guiu,MUN,2.03,0.9,0.38,0.07,11.4,0.15,0.39,0.9,0.09,0,,
B. Šeško,CHE,2.28,0.96,0.37,0.08,11.79,0.27,0.43,0.89,0.1,0,1,
C. Palmer,MUN,2.8,1.11,0.35,0.17,31.14,2.39,0.87,0.68,0.1,0,1,
João Pedro,MUN,2.13,0.91,0.34,0.11,22.95,0.4,0.65,1.23,0.14,0,1,
L. Delap,MUN,1.7,0.73,0.3,0.06,9.73,0.16,0.37,1.16,0.11,0,,1
B. Mbeumo,CHE,2.51,0.98,0.29,0.18,25.89,4.33,0.8,0.74,0.11,0,1,
Estêvão,MUN,2.19,0.86,0.27,0.17,24.42,2.46,1.14,1.21,0.14,0,,
Matheus Cunha,CHE,2.37,0.87,0.25,0.1,19.98,1.26,0.94,1.2,0.15,0,,1
J. Zirkzee,CHE,1.76,0.69,0.25,0.06,16.14,0.2,0.63,1.03,0.11,0,,
A. Garnacho,MUN,1.78,0.71,0.22,0.13,20.91,1.77,0.87,0.73,0.09,0,,
A. Diallo,CHE,1.76,0.67,0.21,0.13,30.23,1.08,1.03,0.92,0.13,0,1,
T. George,MUN,1.55,0.62,0.19,0.12,22.13,1.11,1.08,0.99,0.11,0,,
J. Gittens,MUN,1.55,0.6,0.18,0.11,17.42,1.6,1.04,0.98,0.11,0,1,
Pedro Neto,MUN,1.45,0.57,0.17,0.17,25.25,4.86,0.75,0.56,0.08,0,1,
E. Fernández,MUN,1.58,0.56,0.16,0.13,37.66,1.55,1.24,1.19,0.17,0,1,
Bruno Fernandes,CHE,1.99,0.62,0.15,0.15,45.5,4.16,1.7,1.2,0.2,0,1,
M. Mount,CHE,1.3,0.46,0.12,0.09,20.16,1.57,1.12,0.92,0.12,0,,1
F. Buonanotte,MUN,1.07,0.38,0.11,0.08,20.52,0.79,1.45,1.31,0.16,0,,
P. Dorgu,CHE,1.08,0.34,0.08,0.1,27.92,2.71,2.08,1.29,0.19,0,1,
Casemiro,CHE,1.08,0.3,0.07,0.06,34.34,0.61,2.19,1.46,0.21,0,1,
K. Mainoo,CHE,0.89,0.27,0.07,0.06,30.73,0.52,1.57,1.06,0.15,0,1,
Marc Cucurella,MUN,0.79,0.24,0.07,0.08,44.84,0.78,2.1,1.21,0.19,0,1,
H. Maguire,CHE,0.59,0.18,0.06,0.02,42,0.06,1,0.77,0.16,0,,
D. León,CHE,0.88,0.25,0.06,0.06,23.31,1.84,1.84,0.94,0.14,0,,
Andrey Santos,MUN,0.76,0.21,0.06,0.05,38.47,0.21,2.16,1.71,0.27,0,,
T. Adarabioyo,MUN,0.46,0.14,0.05,0.02,66.56,0.06,1.02,0.75,0.17,0,1,
T. Chalobah,MUN,0.51,0.15,0.05,0.03,59.44,0.15,1.19,0.85,0.2,0,1,
M. Ugarte,CHE,0.71,0.19,0.05,0.03,33.88,0.2,2.3,1.65,0.26,0,,
M. de Ligt,CHE,0.54,0.15,0.05,0.02,42.59,0.1,1.34,0.77,0.15,0,1,
M. Gusto,MUN,0.55,0.17,0.04,0.08,40.59,1.86,1.87,0.92,0.15,0,1,
B. Badiashile,MUN,0.41,0.12,0.04,0.02,68.38,0.06,0.98,0.74,0.16,0,,1
A. Heaven,CHE,0.51,0.14,0.04,0.02,44.69,0.07,1.5,1.07,0.22,0,,
Lisandro Martínez,CHE,0.58,0.16,0.04,0.03,49.13,0.42,1.37,0.92,0.18,0,,1
R. James,MUN,0.65,0.17,0.04,0.08,49.91,2.19,1.86,1.15,0.22,0,,
L. Yoro,CHE,0.46,0.13,0.04,0.02,45.34,0.09,1.31,0.83,0.17,0,1,
Diogo Dalot,CHE,0.56,0.16,0.04,0.07,31.17,2.38,1.76,0.93,0.14,0,,1
J. Acheampong,MUN,0.4,0.12,0.04,0.02,67.81,0.08,1.28,0.8,0.18,0,,
M. Caicedo,MUN,0.58,0.15,0.04,0.04,54.31,0.24,2.59,1.6,0.29,0,1,
Dário Essugo,MUN,0.55,0.14,0.04,0.03,34.03,0.16,2.29,1.82,0.29,0,,1
L. Colwill,MUN,0.38,0.11,0.03,0.02,61.38,0.07,1.27,1.08,0.24,0,,1
R. Lavia,MUN,0.38,0.1,0.02,0.03,39.78,0.15,1.94,1.43,0.24,0,,1
T. Fredricson,CHE,0.3,0.08,0.02,0.01,49.91,0.07,1.29,0.79,0.17,0,,
J. Hato,MUN,0.3,0.08,0.02,0.04,37.03,0.7,1.91,1.04,0.15,0,,
L. Shaw,CHE,0.29,0.08,0.02,0.03,46.25,0.6,1.32,0.84,0.17,0,1,
N. Mazraoui,CHE,0.34,0.09,0.02,0.04,31.38,1.34,2.39,1.34,0.22,0,,
T. Malacia,CHE,0.34,0.09,0.02,0.06,32.56,2.5,2.21,1.28,0.21,0,,
W. Fofana,MUN,0.25,0.07,0.02,0.03,42.34,0.31,2.04,1.41,0.24,0,,
G. Słonina,MUN,0,0,0,0,31.13,0,0.03,0.03,0.07,3.43,,
T. Curd,MUN,0,0,0,0,34.28,0,0.03,0.02,0.05,3.25,,
