Ligue,Timezone,Kickoff,Home_team,Away_team,Home_score,Away_score
WSL,Asia/Seoul,Sep 13 @ AM 03:30,MAN CITY,BRIGHTON,2,1
WSL,Asia/Seoul,Sep 13 @ AM 03:30,WEST HAM,ARSENAL,1,5
BUN,Asia/Seoul,Sep 13 @ AM 03:30,LEVERKUSEN,FRANKFURT,3,1
LI1,Asia/Seoul,Sep 13 @ AM 03:45,MARSEILLE,LORIENT,4,0
CHA,Asia/Seoul,Sep 13 @ AM 04:00,IPSWICH,SHEFF UTD,5,0
LL,Asia/Seoul,Sep 13 @ AM 04:00,SEVILLA,ELCHE,2,2
LET,Asia/Seoul,Sep 13 @ PM 08:30,ACCRINGTON,COLCHESTER,1,0
LET,Asia/Seoul,Sep 13 @ PM 08:30,CRAWLEY,CHELTENHAM,2,0
LEO,Asia/Seoul,Sep 13 @ PM 08:30,BRADFORD,HUDDERSFIELD,3,1
LEO,Asia/Seoul,Sep 13 @ PM 08:30,NORTHAMPTON,BLACKPOOL,1,0
CHA,Asia/Seoul,Sep 13 @ PM 08:30,CHARLTON,MILLWALL,1,1
CHA,Asia/Seoul,Sep 13 @ PM 08:30,OXFORD,LEICESTER,2,2
CHA,Asia/Seoul,Sep 13 @ PM 08:30,PRESTON,MIDDLESBROUGH,2,2
EPL,Asia/Seoul,Sep 13 @ PM 08:30,ARSENAL,NOTTM FOREST,3,0
LL,Asia/Seoul,Sep 13 @ PM 09:00,GETAFE,OVIEDO,2,0
SEA,Asia/Seoul,Sep 13 @ PM 10:00,CAGLIARI,PARMA,2,0
BUN,Asia/Seoul,Sep 13 @ PM 10:30,FREIBURG,STUTTGART,3,1
BUN,Asia/Seoul,Sep 13 @ PM 10:30,MAINZ 05,LEIPZIG,0,1
BUN,Asia/Seoul,Sep 13 @ PM 10:30,WOLFSBURG,KÖLN,3,3
BUN,Asia/Seoul,Sep 13 @ PM 10:30,UNION BERLIN,HOFFENHEIM,2,4
BUN,Asia/Seoul,Sep 13 @ PM 10:30,HEIDENHEIM,DORTMUND,0,2
LET,Asia/Seoul,Sep 13 @ PM 11:00,BRISTOL ROVERS,BARROW,2,1
