Ligue,Timezone, Kickoff, Home_team, Away_team, Home_score, Away_score, Result_type
UCL,Asia/Seoul, Sep 17 @ AM 01:45, ATHLETIC, ARSENAL,0,2, FT
UCL,Asia/Seoul, Sep 17 @ AM 01:45, PSV, R. UNION SG,1,3, FT
LEC,Asia/Seoul, Sep 17 @ AM 03:45, SHEFF WED, GRIMSBY,0,1, FT
UCL,Asia/Seoul, Sep 17 @ AM 04:00, JUVENTUS, DORTMUND,4,4, FT
UCL,Asia/Seoul, Sep 17 @ AM 04:00, REAL MADRID, MARSEILLE,2,1, FT
UCL,Asia/Seoul, Sep 17 @ AM 04:00, BENFICA, QARABAĞ,2,3, FT
UCL,Asia/Seoul, Sep 17 @ AM 04:00, TOTTENHAM, VILLARREAL,1,0, FT
LEC,Asia/Seoul, Sep 17 @ AM 04:00, BRENTFORD, ASTON VILLA, 1 (4), 1 (2), AET+P
LEC,Asia/Seoul, Sep 17 @ AM 04:00, CRYSTAL PALACE, MILLWALL, 1 (4), 1 (2), AET+P
MLS,Asia/Seoul, Sep 17 @ AM 08:30, INTER MIAMI, SOUNDERS,3,1, FT
UCL,Asia/Seoul, Sep 18 @ AM 01:45, OLYMPIAKOS, PAFOS,0,0, FT
UCL,Asia/Seoul, Sep 18 @ AM 01:45, SLAVIA, BODØ/GLIMT,2,2, FT
UCL,Asia/Seoul, Sep 18 @ AM 04:00, AJAX, INTER,0,2, FT
UCL,Asia/Seoul, Sep 18 @ AM 04:00, BAYERN MÜNCHEN, CHELSEA,3,1, FT
UCL,Asia/Seoul, Sep 18 @ AM 04:00, LIVERPOOL, ATLÉTICO,3,2, FT
UCL,Asia/Seoul, Sep 18 @ AM 04:00, PSG, ATALANTA,4,0, FT
LEC,Asia/Seoul, Sep 18 @ AM 04:00, SWANSEA, NOTTM FOREST,3,2, FT
MLS,Asia/Seoul, Sep 18 @ AM 08:30, NYCFC, COLUMBUS,3,2, FT
MLS,Asia/Seoul, Sep 18 @ AM 10:30, SALT LAKE, LAFC,1,4, FT
UWC,Asia/Seoul, Sep 18 @ PM 11:00, FERENCVÁROS, VÅLERENGA,1,2, FT
UWC,Asia/Seoul, Sep 19 @ AM 12:30, SPORTING, ROMA,0,2, FT
UWC,Asia/Seoul, Sep 19 @ AM 01:00, FORTUNA, ST. PÖLTEN,1,2, FT
UCL,Asia/Seoul, Sep 19 @ AM 01:45, CLUB BRUGGE, MONACO,4,1, FT
UCL,Asia/Seoul, Sep 19 @ AM 01:45, KØBENHAVN, LEVERKUSEN,2,2, FT
UWC,Asia/Seoul, Sep 19 @ AM 02:00, TWENTE, GKS KATOWICE,4,1, FT
UWC,Asia/Seoul, Sep 19 @ AM 02:00, ATL. MADRID, HÄCKEN,2,1, AET
UWC,Asia/Seoul, Sep 19 @ AM 02:45, AUSTRIA WIEN, PARIS,0,2, FT
UWC,Asia/Seoul, Sep 19 @ AM 03:00, OHL, VORSKLA,0,0, FT
UWC,Asia/Seoul, Sep 19 @ AM 03:00, MAN UTD, BRANN,3,0, FT
UWC,Asia/Seoul, Sep 19 @ AM 03:00, REAL MADRID, EINTRACHT,3,0, FT
UCL,Asia/Seoul, Sep 19 @ AM 04:00, FRANKFURT, GALATASARAY,5,1, FT
UCL,Asia/Seoul, Sep 19 @ AM 04:00, MAN CITY, NAPOLI,2,0, FT
UCL,Asia/Seoul, Sep 19 @ AM 04:00, NEWCASTLE, BARCELONA,1,2, FT
UCL,Asia/Seoul, Sep 19 @ AM 04:00, SPORTING, KAIRAT,4,1, FT
