Ligue,Timezone,Kickoff,Home_team,Away_team,p_home_win,p_draw,p_away_win,pr_home,pr_away
WSL,Asia/Seoul,Sep 13 @ AM 03:30,MAN CITY,BRIGHTON,81.6,11.4,7,,
WSL,Asia/Seoul,Sep 13 @ AM 03:30,WEST HAM,ARSENAL,15.1,18,66.9,,
BUN,Asia/Seoul,Sep 13 @ AM 03:30,LEVERKUSEN,FRANKFURT,43.2,24.9,32,89.8,88.1
LI1,Asia/Seoul,Sep 13 @ AM 03:45,MARSEILLE,LORIENT,65.4,18.5,16.2,87.1,78.4
CHA,Asia/Seoul,Sep 13 @ AM 04:00,IPSWICH,SHEFF UTD,42.5,26.7,30.8,79.7,80.8
LL,Asia/Seoul,Sep 13 @ AM 04:00,SEVILLA,ELCHE,50.4,26.4,23.2,82,81.6
LL,Asia/Seoul,Sep 14 @ AM 01:30,ATHLETIC,ALAVÉS,57.9,23.9,18.1,89.1,82.5
BUN,Asia/Seoul,Sep 14 @ AM 01:30,BAYERN MÜNCHEN,HAMBURG,84.2,9.5,6.3,94.9,78.2
EPL,Asia/Seoul,Sep 14 @ AM 01:30,WEST HAM,TOTTENHAM,32.7,25.5,41.8,87.9,90.6
SEA,Asia/Seoul,Sep 14 @ AM 03:45,FIORENTINA,NAPOLI,29.3,28.8,41.9,87.2,91.3
LL,Asia/Seoul,Sep 14 @ AM 04:00,ATLÉTICO,VILLARREAL,49.5,25.3,25.2,90.5,89.1
EPL,Asia/Seoul,Sep 14 @ AM 04:00,BRENTFORD,CHELSEA,30.8,25.1,44.1,90.4,96.1
LI1,Asia/Seoul,Sep 14 @ AM 04:05,AUXERRE,MONACO,23,23,54,81.1,88.3
MLS,Asia/Seoul,Sep 14 @ AM 08:30,ATLANTA UNITED,COLUMBUS,26.2,23.5,50.3,74.8,81.5
MLS,Asia/Seoul,Sep 14 @ AM 08:30,CHARLOTTE,INTER MIAMI,35.4,26,38.5,79.1,82.1
MLS,Asia/Seoul,Sep 14 @ AM 08:30,CINCINNATI,NASHVILLE,48.5,25.8,25.7,79.2,78.6
MLS,Asia/Seoul,Sep 14 @ AM 08:30,DC UNITED,ORLANDO,22.6,22.2,55.2,71.7,79.9
MLS,Asia/Seoul,Sep 14 @ AM 08:30,MONTRÉAL,ST. LOUIS,43,26.7,30.3,72.7,73
MLS,Asia/Seoul,Sep 14 @ AM 08:30,NEW ENGLAND,TORONTO,47.9,26,26.1,73.6,72.9
LL,Asia/Seoul,Sep 14 @ AM 01:30,ATHLETIC,ALAVÉS,57.9,23.9,18.1,89.1,82.5
BUN,Asia/Seoul,Sep 14 @ AM 01:30,BAYERN MÜNCHEN,HAMBURG,84.2,9.5,6.3,94.9,78.2
EPL,Asia/Seoul,Sep 14 @ AM 01:30,WEST HAM,TOTTENHAM,32.7,25.5,41.8,87.9,90.6
SEA,Asia/Seoul,Sep 14 @ AM 03:45,FIORENTINA,NAPOLI,29.3,28.8,41.9,87.2,91.3
LL,Asia/Seoul,Sep 14 @ AM 04:00,ATLÉTICO,VILLARREAL,49.5,25.3,25.2,90.5,89.1
EPL,Asia/Seoul,Sep 14 @ AM 04:00,BRENTFORD,CHELSEA,30.8,25.1,44.1,90.4,96.1
LI1,Asia/Seoul,Sep 14 @ AM 04:05,AUXERRE,MONACO,23,23,54,81.1,88.3
MLS,Asia/Seoul,Sep 14 @ AM 08:30,ATLANTA UNITED,COLUMBUS,26.2,23.5,50.3,74.8,81.5
MLS,Asia/Seoul,Sep 14 @ AM 08:30,CHARLOTTE,INTER MIAMI,35.4,26,38.5,79.1,82.1
MLS,Asia/Seoul,Sep 14 @ AM 08:30,CINCINNATI,NASHVILLE,48.5,25.8,25.7,79.2,78.6
MLS,Asia/Seoul,Sep 14 @ AM 08:30,DC UNITED,ORLANDO,22.6,22.2,55.2,71.7,79.9
MLS,Asia/Seoul,Sep 14 @ AM 08:30,MONTRÉAL,ST. LOUIS,43,26.7,30.3,72.7,73
