Ligue,Timezone, Kickoff, Home_team, Away_team, p_home_win, p_draw, p_away_win, pr_home, pr_away
WSL,Asia/Seoul, Sep 20 @ AM 03:30, EVERTON, LONDON CITY,48,25.7,25, , 
WSL,Asia/Seoul, Sep 20 @ AM 03:30, TOTTENHAM HOTSPUR, MAN CITY,14.5,17.5,68, , 
BUN,Asia/Seoul, Sep 20 @ AM 03:30, STUTTGART, ST. PAULI,52.7,23.2,24.1,85.1,80.4
SEA,Asia/Seoul, Sep 20 @ AM 03:45, LECCE, CAGLIARI,35.8,30.3,33.9,79,80.3
LI1,Asia/Seoul, Sep 20 @ AM 03:45, LYON, ANGERS,65.4,19.2,15.4,87.8,79
CHA,Asia/Seoul, Sep 20 @ AM 04:00, MIDDLESBROUGH, WEST BROMWICH,47.1,26.3,26.6,80.8,79.6
LL,Asia/Seoul, Sep 20 @ AM 04:00, BETIS, REAL SOCIEDAD,48.7,25.3,25.9,85.4,82.9
LET,Asia/Seoul, Sep 20 @ PM 08:30, CAMBRIDGE UTD, FLEETWOOD,48.1,26,26,67,65.9
LET,Asia/Seoul, Sep 20 @ PM 08:30, HARROGATE, SHREWSBURY,43.9,26.8,29.3,63.2,63.1
LEO,Asia/Seoul, Sep 20 @ PM 08:30, BLACKPOOL, BARNSLEY,44.5,26.8,28.7,71.9,73.3
LEO,Asia/Seoul, Sep 20 @ PM 08:30, BOLTON, WIGAN,48.7,25.7,25.6,73.6,72.8
LEO,Asia/Seoul, Sep 20 @ PM 08:30, LINCOLN, LUTON,42.7,26.7,30.7,73.7,73.6
CHA,Asia/Seoul, Sep 20 @ PM 08:30, BIRMINGHAM, SWANSEA,45.1,26.9,28,77.9,78.9
CHA,Asia/Seoul, Sep 20 @ PM 08:30, LEICESTER, COVENTRY,45.9,26.7,27.4,81,80.7
CHA,Asia/Seoul, Sep 20 @ PM 08:30, QPR, STOKE,37.6,26.4,36,77.6,78.2
EPL,Asia/Seoul, Sep 20 @ PM 08:30, LIVERPOOL, EVERTON,71.6,16.3,12.2,100,90.2
LL,Asia/Seoul, Sep 20 @ PM 09:00, GIRONA, LEVANTE,49.5,25,25.6,79.8,79.8
SEA,Asia/Seoul, Sep 20 @ PM 10:00, BOLOGNA, GENOA,51.4,26.8,21.9,87.1,82.2
BUN,Asia/Seoul, Sep 20 @ PM 10:30, BREMEN, FREIBURG,41.4,24.6,34.1,84.3,82.9
BUN,Asia/Seoul, Sep 20 @ PM 10:30, AUGSBURG, MAINZ 05,35.7,26.8,37.5,81.7,83.6
BUN,Asia/Seoul, Sep 20 @ PM 10:30, HOFFENHEIM, BAYERN MÜNCHEN,15.3,18.2,66.4,81.9,95.5
BUN,Asia/Seoul, Sep 20 @ PM 10:30, HAMBURG, HEIDENHEIM,45.7,25.8,28.6,78.2,77.7
LET,Asia/Seoul, Sep 20 @ PM 11:00, BARNET, GRIMSBY,35.8,26.1,38.1,64.2,66.5
LET,Asia/Seoul, Sep 20 @ PM 11:00, BARROW, CREWE,39,26.5,34.4,63.6,65.4
LET,Asia/Seoul, Sep 20 @ PM 11:00, BROMLEY, CHESTERFIELD,47.8,26.1,26.2,67,66.4
LET,Asia/Seoul, Sep 20 @ PM 11:00, CHELTENHAM, OLDHAM,44.2,26.8,29,62.6,63.9
LET,Asia/Seoul, Sep 20 @ PM 11:00, COLCHESTER, BRISTOL ROVERS,44.8,26.9,28.4,65.3,66.2
LET,Asia/Seoul, Sep 20 @ PM 11:00, MK DONS, ACCRINGTON,49.6,25.4,25,64.2,63
LET,Asia/Seoul, Sep 20 @ PM 11:00, NEWPORT, GILLINGHAM,26.6,23.7,49.8,60.4,67.6
LET,Asia/Seoul, Sep 20 @ PM 11:00, NOTTS, CRAWLEY,49.6,25.4,25,66.3,65.5
LET,Asia/Seoul, Sep 20 @ PM 11:00, SALFORD, SWINDON,41.9,26.7,31.4,67.9,68.8
LET,Asia/Seoul, Sep 20 @ PM 11:00, WALSALL, TRANMERE,56.3,22.6,21.1,68.6,64.5
LEO,Asia/Seoul, Sep 20 @ PM 11:00, CARDIFF, BRADFORD,55.1,23.1,21.8,75.1,72.1
LEO,Asia/Seoul, Sep 20 @ PM 11:00, DONCASTER, WIMBLEDON,53.4,23.9,22.7,71.5,69.6
LEO,Asia/Seoul, Sep 20 @ PM 11:00, HUDDERSFIELD, BURTON ALBION,55.5,22.9,21.5,72.1,67.8
LEO,Asia/Seoul, Sep 20 @ PM 11:00, PLYMOUTH, PETERBOROUGH,56.2,22.7,21.2,72.3,68.4
LEO,Asia/Seoul, Sep 20 @ PM 11:00, PORT VALE, MANSFIELD TOWN,37.6,26.4,36,68.9,70.3
LEO,Asia/Seoul, Sep 20 @ PM 11:00, READING, L ORIENT,40.9,26.7,32.5,72,74.1
LEO,Asia/Seoul, Sep 20 @ PM 11:00, ROTHERHAM, STOCKPORT,30.5,25,44.6,70.1,75.7
LEO,Asia/Seoul, Sep 20 @ PM 11:00, STEVENAGE, EXETER,53.3,23.9,22.8,72.8,68.8
LEO,Asia/Seoul, Sep 20 @ PM 11:00, WYCOMBE, NORTHAMPTON,56.5,22.5,21,72.7,69.5
CHA,Asia/Seoul, Sep 20 @ PM 11:00, BLACKBURN, IPSWICH,36.9,26.3,36.8,78,80.3
CHA,Asia/Seoul, Sep 20 @ PM 11:00, DERBY, PRESTON,43.6,26.8,29.7,76.9,77.3
CHA,Asia/Seoul, Sep 20 @ PM 11:00, HULL, SOUTHAMPTON,38.2,26.5,35.4,76.7,79.6
CHA,Asia/Seoul, Sep 20 @ PM 11:00, NORWICH, WREXHAM,46.5,26.5,27,78.4,76.2
CHA,Asia/Seoul, Sep 20 @ PM 11:00, PORTSMOUTH, SHEFF WED,47.1,26.3,26.6,78,74.9
CHA,Asia/Seoul, Sep 20 @ PM 11:00, SHEFF UTD, CHARLTON,61.4,20.4,18.3,80,75.9
EPL,Asia/Seoul, Sep 20 @ PM 11:00, BRIGHTON, TOTTENHAM,47.4,26.2,26.4,91.6,91.5
