POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,BAYERN MÜNCHEN,66.38,18.79,7.72,3.54,1.76,0.8,0.45,0.27,0.15,0.05,0.04,0.02,0.02,0,0.01,0,0,0
2,EINTRACHT FRANKFURT,8.1,18.45,18.52,15.4,10.64,8.3,5.92,4.45,2.75,2.24,1.84,1.3,0.85,0.53,0.32,0.31,0.07,0.01
3,KÖLN,0.19,0.66,1.64,2.56,4.06,4.38,5.47,6.51,6.73,7.66,8.07,8.72,7.97,8.79,8.32,7.51,6.43,4.33
4,BORUSSIA DORTMUND,14.19,26.51,19.28,13,8.79,6.21,4.07,2.47,1.83,1.11,0.84,0.68,0.39,0.35,0.17,0.08,0.03,0
5,ST. PAULI,0.06,0.4,0.74,1.82,2.58,3.55,4.66,5.66,5.8,7.07,7.65,8.24,9.31,8.67,9.46,9.1,8.86,6.37
6,WOLFSBURG,0.46,1.64,3.37,5.19,6.58,8.1,7.79,8.05,8.65,8.33,7.67,6.87,6.65,6.2,5.35,4.1,3.22,1.78
7,AUGSBURG,0.22,1.34,2.29,3.65,5.04,5.94,6.85,7.62,7.66,8.25,8.08,7.82,7.86,7.01,6.4,5.92,5.09,2.96
8,STUTTGART,1.55,5.06,8.47,10.06,10.36,10.32,10.04,8.49,7.55,6.46,5.33,4.24,3.63,2.66,2.27,1.81,1.11,0.59
9,HOFFENHEIM,0.17,0.59,1.54,2.45,4.1,4.8,5.65,6.62,6.87,7.67,8.02,7.95,8.38,8.36,7.97,7.43,6.78,4.65
10,UNION BERLIN,0.13,0.58,1.37,2.59,4.06,5.03,5.48,6.45,7.6,7.74,8.07,8.54,7.71,8.22,7.61,7.3,6.87,4.65
11,RB LEIPZIG,1.79,6.21,9.26,11.11,11.22,10.37,9.01,8.17,6.89,5.86,4.65,4.1,3.66,2.79,1.96,1.58,0.89,0.48
12,BAYER LEVERKUSEN,5.79,15.69,17.43,15.1,11.88,9.45,6.66,5.22,3.7,2.76,2.16,1.46,1,0.71,0.42,0.32,0.2,0.05
13,MAINZ 05,0.48,1.85,3.17,4.99,6.76,7.28,8.08,7.91,8.73,7.47,7.35,7.16,6.77,6.35,5.32,4.66,3.52,2.15
14,BORUSSIA M'GLADBACH,0.07,0.41,1.1,1.75,2.63,3.29,4.33,5.23,6.15,6.61,7.48,7.65,8.04,9.23,9.98,9.94,8.88,7.23
15,HAMBURGER SV,0,0.04,0.16,0.38,0.66,0.76,1.33,1.66,2.53,3.11,4.18,5.15,6.06,7.85,9.75,13.49,18.06,24.83
16,WERDER BREMEN,0.4,1.26,2.85,4.5,5.65,6.93,7.78,8.14,7.75,8.07,7.85,7.24,6.98,6.46,5.89,5.35,4.07,2.83
17,HEIDENHEIM,0,0.03,0.05,0.26,0.42,0.72,1.1,1.64,2.04,2.96,3.34,4.34,6.07,7.41,9.63,12.22,17.66,30.11
18,FREIBURG,0.02,0.49,1.04,1.65,2.81,3.77,5.33,5.44,6.62,6.58,7.38,8.52,8.65,8.41,9.17,8.88,8.26,6.98
