POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,REAL MADRID,40.88,33.48,13.55,6.12,2.97,1.38,0.73,0.33,0.3,0.11,0.08,0.04,0.02,0,0,0,0,0,0.01,0
2,ATHLETIC CLUB,5.04,12.73,21.74,17.25,12.7,8.85,6.18,4.32,3.32,2.18,1.75,1.41,0.8,0.8,0.35,0.3,0.17,0.09,0.02,0
3,VILLARREAL,3.28,8.92,18.18,16.85,13.41,10.52,7.07,5.53,4.26,3.39,2.68,1.74,1.43,0.93,0.55,0.55,0.27,0.29,0.11,0.04
4,BARCELONA,47.54,31.89,11.52,5,2.24,0.92,0.38,0.22,0.1,0.09,0.05,0.03,0.01,0,0,0.01,0,0,0,0
5,ESPANYOL,0.12,0.58,2.1,3.8,5.31,7.21,7.13,7.68,7.89,7.81,7.22,6.27,6.52,6.32,5.45,5.36,4.4,3.89,3.08,1.86
6,GETAFE,0.08,0.44,1.31,2.61,4.36,5.04,6.03,6.37,7.18,6.77,7.81,7.29,7.25,6.93,6.78,6.23,5.71,5.12,4.03,2.66
7,ELCHE,0.02,0.12,0.65,1.26,2.43,3.51,4,5.1,5.53,5.83,6.96,6.68,6.81,7.92,7.52,7.71,7.89,7.59,7.11,5.36
8,REAL BETIS,0.21,1.05,3.79,7.35,8.68,8.88,9.26,8.96,8.33,7.35,6.55,6.25,5.41,4.55,4.01,2.8,2.57,1.9,1.42,0.68
9,VALENCIA,0.09,0.53,1.92,3.38,5.04,6.16,7.19,7.09,6.85,7.47,7.28,7.17,6.72,6.5,5.75,5.35,4.94,4.54,3.56,2.47
10,RAYO VALLECANO,0.13,0.78,3.19,5.07,6.51,7.93,8.25,7.98,7.68,7.41,6.98,6.29,5.94,5.57,4.9,4.43,3.95,3.06,2.46,1.49
11,ALAVÉS,0.04,0.25,0.84,2.18,3.01,4.28,5.47,5.81,6.52,6.73,6.46,7.33,7.18,7.05,6.84,6.91,6.96,6.52,5.47,4.15
12,SEVILLA,0.01,0.14,0.65,1.15,2.19,2.87,3.76,4.36,4.89,5.57,5.78,6.47,7.73,7.24,8.06,8.35,8.54,8.41,7.65,6.18
13,OSASUNA,0.19,0.67,2.4,4.44,6.37,7.57,7.82,7.94,7.7,7.49,7.32,6.94,6.28,5.56,5.25,4.61,3.97,3.35,2.43,1.7
14,CELTA DE VIGO,0.05,0.19,0.87,2,3.14,3.89,4.88,5.94,6.38,7.2,6.63,7.33,7.01,7.25,7.5,6.82,6.75,6.93,5.17,4.07
15,REAL OVIEDO,0.01,0.1,0.35,0.88,1.18,1.91,2.66,3.21,4.03,4.4,5.17,5.87,6.4,7.31,8.06,8.5,9.08,9.4,11,10.48
16,REAL SOCIEDAD,0.03,0.32,0.9,2.13,3.27,4.2,5.23,5.95,6.63,6.09,6.98,6.94,6.7,7.11,7.19,7.22,6.31,6.72,5.69,4.39
17,ATLÉTICO DE MADRID,2.27,7.71,15.51,16.99,14.63,10.86,8.45,6.16,4.48,3.37,2.55,2.07,1.4,1.19,0.95,0.63,0.32,0.21,0.16,0.09
18,MALLORCA,0,0.08,0.36,1.05,1.68,2.51,3.27,3.79,4.05,5.57,5.56,6.39,7.39,6.85,7.6,8.07,8.55,8.45,9.88,8.9
19,LEVANTE,0.01,0.01,0.11,0.3,0.5,0.7,1.22,1.63,2.17,2.77,2.97,3.84,4.37,5.9,7.26,8.09,9.73,11.78,14.88,21.76
20,GIRONA,0,0.01,0.06,0.19,0.38,0.81,1.02,1.63,1.71,2.4,3.22,3.65,4.63,5.02,5.98,8.06,9.89,11.75,15.87,23.72
