POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,REAL MADRID,43.87,42.3,9.11,2.79,1.14,0.39,0.27,0.07,0.03,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0
2,BARCELONA,52.19,37.37,6.96,2.18,0.74,0.3,0.17,0.06,0.01,0,0.02,0,0,0,0,0,0,0,0,0,
3,VILLARREAL,1.46,6.29,21.39,18.53,13.73,10.37,7.52,5.24,4.25,3.13,2.07,1.85,1.34,1.13,0.69,0.44,0.32,0.15,0.08,0.02,
4,ESPANYOL,0.04,0.49,3.26,5.17,6.62,7.64,7.96,8.13,7.96,7.67,7,6.89,6.16,5.91,4.87,4.56,3.7,3.06,2.03,0.88,
5,ELCHE,0.03,0.15,1.18,2.28,3.32,4.41,5.04,5.9,6.34,7.33,6.88,7.46,7.55,7.56,7.28,7.39,6.44,5.92,4.7,2.84,
6,REAL BETIS,0.19,1.17,5.55,9.04,10.12,9.68,9.71,9.42,7.95,7.16,6.11,5.75,4.48,3.66,3.24,2.3,1.81,1.57,0.72,0.37,
7,ATHLETIC CLUB,0.56,2.83,13.11,14.38,13.9,11.36,9.07,7.44,6.31,4.86,3.99,3.34,2.67,1.95,1.5,1.1,0.68,0.57,0.28,0.1,
8,GETAFE,0.05,0.34,2.05,3.89,5.1,5.65,6.8,7.1,8.03,7.86,8.1,7.16,7.02,6.68,6.19,5.89,4.71,3.4,2.5,1.48,
9,SEVILLA,0.02,0.14,1.07,1.75,2.86,3.86,4.81,5.37,6,6.5,7.09,7.27,7.81,7.99,7.94,7.71,7.18,6.67,5,2.96,
10,ALAVÉS,0.01,0.12,1.07,2.09,3.2,4.41,4.95,5.98,6.1,7.14,7.67,7.49,7.14,7.46,7.7,7.16,6.21,6.4,4.54,3.16,
11,VALENCIA,0.11,0.5,3.26,5.53,7.26,7.87,8.22,7.91,7.82,7.58,7.12,6.51,5.83,5.34,4.81,4.19,3.84,3.07,2.19,1.04,
12,ATLÉTICO DE MADRID,1.36,7.48,25.26,19.15,13.53,9.42,6.64,5,3.73,2.37,1.93,1.35,0.94,0.67,0.49,0.25,0.24,0.1,0.07,0.02,
13,OSASUNA,0.09,0.51,3.05,5.82,7.35,7.95,8.22,8.72,8.67,7.75,7.29,6.41,6.23,5.17,4.38,3.79,3.43,2.26,1.88,1.03,
14,RAYO VALLECANO,0.02,0.14,1.69,3,3.88,5.3,6,6.75,6.97,6.98,7.45,7.37,7.51,6.92,6.92,6,5.91,4.95,4.29,1.95,
15,CELTA DE VIGO,0,0.11,0.85,1.64,2.4,3.79,4.42,4.95,5.55,5.8,6.79,7.35,7.37,8.02,8.05,7.84,7.88,7,6.55,3.64,
16,LEVANTE,0,0.03,0.26,0.69,0.96,1.8,2.34,2.65,3.13,4.21,4.83,5.43,6.87,7.61,8.41,9.76,9.88,11.23,11.04,8.87,
17,REAL OVIEDO,0,0.01,0.04,0.25,0.62,0.79,1.27,1.6,2.08,2.48,3.21,4.07,4.86,5.91,6.74,8.31,10.16,13.04,16.33,18.23,
18,REAL SOCIEDAD,0,0.02,0.6,1.07,1.91,2.91,3.68,4.28,4.9,5.7,5.86,6.67,7.14,7.45,7.92,8.01,9.12,8.67,7.81,6.28,
19,MALLORCA,0,0,0.22,0.7,1.25,1.88,2.5,2.85,3.4,4.43,5.04,5.7,6.5,7.02,8.07,8.83,10.13,10.55,10.76,10.17,
20,GIRONA,0,0,0.02,0.05,0.11,0.22,0.41,0.58,0.77,1.05,1.54,1.92,2.57,3.55,4.8,6.47,8.36,11.39,19.23,36.96,
