POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,PSG,84.45,10.66,3.24,1.06,0.3,0.14,0.1,0.04,0.01,0,0,0,0,0,0,0,0,0
2,OLYMPIQUE LYONNAIS,5.29,25.08,20.47,15.14,10.85,7.91,5.19,3.51,2.35,1.82,0.98,0.71,0.32,0.22,0.1,0.04,0.02,0
3,LILLE,5.14,25.57,20.32,15.24,11.23,7.54,5.14,3.49,2.21,1.71,1.08,0.58,0.39,0.2,0.1,0.01,0.04,0.01
4,MONACO,2.87,15.97,17.88,16.01,13.09,9.72,7.69,5.58,3.49,2.86,1.95,1.03,0.87,0.48,0.34,0.11,0.04,0.02
5,LENS,0.44,4.85,7.72,9.52,10.83,11.45,10.9,9.25,8.94,6.65,6.25,4.43,3.09,2.34,1.57,0.96,0.61,0.2
6,STRASBOURG,0.6,5.2,8.26,10.07,11.26,11.43,11.04,9.21,8.53,6.76,5.33,4.11,3.16,2.18,1.36,0.92,0.42,0.16
7,TOULOUSE,0.26,3.02,5,7.32,9.07,10.21,10.28,10.35,9.56,8.51,7.14,5.6,4.81,3.59,1.87,1.91,1.04,0.46
8,ANGERS SCO,0.01,0.13,0.23,0.59,1.1,1.73,2.76,3.78,5.08,5.96,7.09,8.44,10.1,11.24,11.25,11.42,10.41,8.68
9,RENNES,0.11,1.06,1.93,3.73,5.15,7,7.99,9.26,9.2,9.77,8.98,8.44,7.44,6.54,5.01,3.78,2.92,1.69
10,OLYMPIQUE MARSEILLE,0.66,6.36,9.4,11.06,12.22,11.38,10.7,9.54,7.91,5.93,4.85,3.39,2.48,1.85,1.17,0.58,0.35,0.17
11,LE HAVRE,0,0.03,0.14,0.49,0.47,1.18,1.72,2.64,3.67,5.16,6.2,8.56,9.38,10.41,11.79,12.79,12.87,12.5
12,NICE,0.1,1.15,2.7,4.28,5.55,7,8.33,9.46,10.07,9.87,8.55,8.27,7.08,6.05,4.72,3.51,1.98,1.33
13,NANTES,0.01,0.16,0.55,0.99,1.62,2.52,4.07,4.9,5.98,7.69,8.37,9.48,10.09,9.71,9.83,9.36,8.28,6.39
14,AUXERRE,0,0.26,0.59,1.23,2.11,3.2,3.93,5.59,6.43,7.77,9.11,9.38,10.4,9.36,9.81,8.58,7.13,5.12
15,PARIS FC,0,0,0.08,0.31,0.62,0.79,1.52,2.18,3.22,3.78,5.26,6.69,8.26,10.19,12.19,13.79,15.63,15.49
16,LORIENT,0,0.03,0.12,0.24,0.63,1.2,1.86,2.43,3.2,4.4,6.08,7.73,9.46,10.16,12.5,12.52,14.1,13.34
17,BREST,0.06,0.47,1.36,2.68,3.76,5.28,6.36,8.04,8.84,9.32,9.86,9.07,7.75,7.84,6.54,5.76,4.49,2.52
18,METZ,0,0,0.01,0.04,0.14,0.32,0.42,0.75,1.31,2.04,2.92,4.09,4.92,7.64,9.85,13.96,19.67,31.92
