POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,LIVERPOOL,52.76,24.63,10.94,5.14,2.87,1.38,0.94,0.6,0.33,0.18,0.07,0.03,0.06,0.04,0.02,0.01,0,0,0,0
2,ARSENAL,27.68,31.01,16.04,9.34,5.61,3.77,2.25,1.65,1.1,0.65,0.36,0.2,0.17,0.09,0.05,0.02,0.01,0,0,0
3,TOTTENHAM HOTSPUR,1.04,3.2,5.53,8.01,8.75,9.52,8.67,8.39,7.99,7.7,7.05,6.03,4.78,4.22,3.05,2.3,1.84,1.03,0.66,0.24
4,AFC BOURNEMOUTH,1.08,3.49,5.96,7.68,8.76,9.22,8.86,8.6,7.86,8.08,6.69,5.76,4.91,3.99,3.12,2.31,1.69,1.16,0.6,0.18
5,CHELSEA,5.72,11.54,15.13,14.19,12,9.82,7.91,5.93,4.81,3.41,3.09,1.83,1.64,1.13,0.76,0.53,0.29,0.18,0.06,0.03
6,EVERTON,0.3,0.83,2.43,3.84,4.73,5.93,7.14,7.92,7.63,8.71,7.69,7.94,7.46,6.92,5.89,5.15,3.92,3.1,1.58,0.89
7,SUNDERLAND,0.01,0.04,0.06,0.07,0.39,0.49,0.69,0.96,1.56,2.32,2.94,4.06,4.72,6.42,7.87,9.93,11.74,14.29,15.79,15.65
8,MANCHESTER CITY,7.56,13.17,17.97,15.16,11.51,9.06,6.99,5.18,3.95,2.97,2.15,1.53,0.97,0.74,0.49,0.28,0.23,0.04,0.05,0
9,CRYSTAL PALACE,1.29,3.97,7.72,9.49,9.89,9.74,9.44,8.96,7.51,6.75,5.65,4.67,4.11,3.28,2.5,2.12,1.46,0.67,0.56,0.22
10,NEWCASTLE UNITED,1.28,3.72,6.74,8.37,9.58,9.46,9.44,8.83,8.47,6.95,5.81,5.62,4.28,3.54,2.68,2,1.37,1.02,0.58,0.26
11,FULHAM,0.04,0.47,0.89,1.97,2.8,3.64,4.69,5.46,5.81,6.64,7.59,7.79,8.75,8.01,8.38,7.42,6.6,5.54,4.74,2.77
12,BRENTFORD,0.14,0.49,1.48,2.44,3.55,4.28,5.06,5.57,7.11,7.21,8.37,8.26,7.77,7.72,7.93,6.69,6.23,4.78,3.02,1.9
13,BRIGHTON & HOVE ALBION,0.45,1.26,3.11,4.63,5.62,7.23,7.33,7.86,8.31,7.78,7.78,7.56,6.66,6.16,5.43,4.32,3.43,2.42,1.71,0.95
14,MANCHESTER UNITED,0.1,0.32,1.19,1.95,3.35,4.01,4.68,5.42,6.12,6.66,7.31,8.34,8.23,8.59,7.75,7.39,6.47,5.42,4.01,2.69
15,NOTTINGHAM FOREST,0.06,0.35,1.07,1.74,2.93,3.61,4.51,5.09,5.64,6.75,7.8,7.41,8.54,8.27,8.68,7.65,6.64,5.6,4.63,3.03
16,LEEDS UNITED,0,0.01,0.06,0.2,0.35,0.56,0.87,1.31,1.86,2.33,3.02,4.01,5.23,6.63,8.25,10.14,11.41,13.04,14.44,16.28
17,BURNLEY,0,0.01,0.06,0.19,0.13,0.28,0.51,0.84,1.29,1.48,2.34,3.34,4.17,5.39,6.86,8.34,11.05,14.35,17.64,21.73
18,WEST HAM UNITED,0,0.05,0.14,0.32,0.64,0.74,1.44,2.05,2.45,3.37,3.95,4.86,6.09,7.41,8.61,10.25,11.35,12.24,12.46,11.58
19,ASTON VILLA,0.48,1.44,3.44,5.09,6.26,6.75,7.97,8.33,8.56,8.15,7.66,7.3,6.85,5.49,4.61,4.02,2.99,2.27,1.73,0.61
20,WOLVERHAMPTON WANDERERS,0.01,0,0.04,0.18,0.28,0.51,0.61,1.05,1.64,1.91,2.68,3.46,4.61,5.96,7.07,9.13,11.28,12.85,15.74,20.99
