POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,NAPOLI,29.63,19.69,14.55,10.5,7.8,6.07,3.91,2.8,1.92,1.35,0.77,0.38,0.28,0.16,0.12,0.04,0.02,0.01,0,0
2,JUVENTUS,18.76,17.65,15.24,12.06,10.23,7.62,5.81,4.33,2.62,2.16,1.26,0.86,0.58,0.31,0.26,0.14,0.07,0.04,0,0
3,CREMONESE,0.04,0.18,0.31,0.69,1.04,1.84,2.92,3.71,4.57,5.96,7.25,7.9,8.97,9.06,9.7,9.64,8.41,7.6,6,4.21
4,UDINESE,0.19,0.53,1.02,1.76,2.88,3.73,4.94,6.39,7.67,8.64,9.03,9.05,8.63,8.1,7.14,6.51,4.63,4.44,3.03,1.69
5,MILAN,7.05,9.79,10.86,11.89,10.91,10.6,9.38,7.69,5.9,5.02,3.79,2.38,1.61,1.15,0.85,0.58,0.28,0.19,0.06,0.02
6,ROMA,9.56,12.35,12.91,13.13,11.53,10.16,8.21,6.29,4.73,3.82,2.31,1.97,1.03,0.75,0.42,0.36,0.23,0.17,0.05,0.02
7,ATALANTA,8.1,10.41,11.97,11.66,11.78,10.66,9,7.07,5.6,4.19,3.06,2.37,1.63,1.11,0.53,0.31,0.32,0.16,0.06,0.01
8,CAGLIARI,0.04,0.06,0.26,0.46,0.92,1.31,1.88,3.1,4.12,4.95,6.32,7.06,8.08,8.68,8.88,10.01,9.45,9.48,8.39,6.55
9,COMO,0.32,0.83,1.2,2.39,3.49,4.63,5.74,7.22,7.68,8.47,9.36,8.93,8.11,7.27,6.4,5.61,4.85,3.43,2.55,1.52
10,TORINO,0.54,1.01,2.11,2.98,4.51,5.53,7.1,8.17,8.76,9.18,8.88,7.71,7.3,6.61,5.33,4.58,3.88,2.7,2.03,1.09
11,INTERNAZIONALE,20.98,18.48,15.44,12.64,9.83,7.13,5.13,4.03,2.08,1.48,1.17,0.71,0.35,0.19,0.2,0.09,0.05,0.02,0,0
12,LAZIO,1.46,2.92,4.31,6.05,7.72,8.92,9.68,9.47,9.69,8.05,7.73,6.52,5.19,3.94,3,2.11,1.43,0.98,0.53,0.3
13,BOLOGNA,2.17,3.86,5.66,7.75,8.63,9.63,10.47,10.11,8.78,7.65,5.6,5.52,4.25,3.43,2.34,1.56,1.12,0.68,0.55,0.24
14,SASSUOLO,0,0.04,0.09,0.18,0.41,0.71,1.16,1.7,2.92,3.47,4.45,5.77,6.48,8.17,9.23,9.67,10.73,11.11,11.98,11.73
15,GENOA,0.08,0.21,0.35,0.8,1.26,2.15,3.05,4.11,5.15,6.09,6.95,7.6,8.32,9.53,8.56,8.65,7.94,7.48,6.61,5.11
16,FIORENTINA,1.05,1.91,3.49,4.56,6.01,7.6,8.71,8.94,9.8,8.8,8.26,7.45,6.21,4.67,4.06,3,2.4,1.5,0.99,0.59
17,HELLAS VERONA,0,0.01,0.07,0.18,0.19,0.4,0.72,1.16,2,2.78,3.26,4.54,5.72,7.11,8.37,9.98,11.06,12.89,13.76,15.8
18,PISA,0.01,0.01,0.03,0.05,0.13,0.37,0.42,0.86,1.46,2.04,2.75,3.69,5.14,5.51,7.83,8.49,10.64,12.81,16.22,21.54
19,PARMA,0.02,0.02,0.12,0.18,0.56,0.53,1.12,1.81,3.01,3.74,4.67,5.74,6.94,7.9,9,9.46,10.87,10.97,11.81,11.53
20,LECCE,0,0.04,0.01,0.09,0.17,0.41,0.65,1.04,1.54,2.16,3.13,3.85,5.18,6.35,7.78,9.21,11.62,13.34,15.38,18.05
